id,type,frame,magnitude,map,path
istl_AMM,missile,,,material,graphics/ISTL/shaders/material/missiles/istl_AMM_material.png
istl_AMMblister,missile,,,material,graphics/ISTL/shaders/material/missiles/istl_AMMblister_material.png
istl_chasseurLRM,missile,,,material,graphics/ISTL/shaders/material/missiles/istl_chasseur_material.png
istl_gravmissile,missile,,,material,graphics/ISTL/shaders/material/missiles/istl_gravmissile_material.png
istl_hedgehogbomb,missile,,,material,graphics/ISTL/shaders/material/missiles/istl_proxbomb_material.png
istl_hellhound,missile,,,material,graphics/ISTL/shaders/material/missiles/istl_hellhound_material.png
istl_lens_hdem,missile,,,material,graphics/ISTL/shaders/material/missiles/istl_lens_hdem_material.png
"#istl_lightbomb",missile,,,material,graphics/ISTL/shaders/material/missiles/istl_lightbomb_material.png
istl_marteau_esm,missile,,,material,graphics/ISTL/shaders/material/missiles/istl_marteau_material.png
istl_mirvtorpedo,missile,,,material,graphics/ISTL/shaders/material/missiles/istl_mirvtorpedo_material.png
istl_multiAMM,missile,,,material,graphics/ISTL/shaders/material/missiles/istl_multiamm_material.png
istl_perforator_rocket,missile,,,material,graphics/ISTL/shaders/material/missiles/istl_perforator_material.png
istl_plasrocket,missile,,,material,graphics/ISTL/shaders/material/missiles/istl_plasrocket_material.png
istl_proxbomb_proj,missile,,,material,graphics/ISTL/shaders/material/missiles/istl_proxbomb_sm_material.png
istl_ruptureasm_ftr,missile,,,material,graphics/ISTL/shaders/material/missiles/istl_ruptureasm_ftr_material.png
istl_ruptureasm,missile,,,material,graphics/ISTL/shaders/material/missiles/istl_ruptureasm_material.png
istl_slapperSRM,missile,,,material,graphics/ISTL/shaders/material/missiles/istl_slapper_material.png
,,,,,
istl_aigrette_cockpit,hardpoint,,,material,graphics/ISTL/shaders/material/ships/istl_aigrette_cockpitpod_material.png
istl_aigrette_cockpit,turret,,,material,graphics/ISTL/shaders/material/ships/istl_aigrette_cockpitpod_material.png
istl_baikal,ship,,,material,graphics/ISTL/shaders/material/ships/istl_baikal_material.png
istl_baikal_brone,ship,,,material,graphics/ISTL/shaders/material/ships/istl_baikal_material.png
istl_borzoi,ship,,,material,graphics/ISTL/shaders/material/ships/istl_borzoi_material.png
istl_bouclier,ship,,,material,graphics/ISTL/shaders/material/ships/istl_bouclier_material.png
istl_bronev_plate_bow,ship,,,material,graphics/ISTL/shaders/material/ships/istl_bronev_plate_bow_material.png
istl_bronev_plate_left,ship,,,material,graphics/ISTL/shaders/material/ships/istl_bronev_plate_left_material.png
istl_bronev_plate_right,ship,,,material,graphics/ISTL/shaders/material/ships/istl_bronev_plate_right_material.png
istl_bronev_plate_lrear,ship,,,material,graphics/ISTL/shaders/material/ships/istl_bronev_plate_lrear_material.png
istl_bronev_plate_rrear,ship,,,material,graphics/ISTL/shaders/material/ships/istl_bronev_plate_rrear_material.png
istl_carabao,ship,,,material,graphics/ISTL/shaders/material/ships/istl_carabao_material.png
istl_centaur,ship,,,material,graphics/ISTL/shaders/material/ships/istl_centaur_material.png
istl_chamois,ship,,,material,graphics/ISTL/shaders/material/ships/istl_chamois_material.png
istl_damselfly,ship,,,material,graphics/ISTL/shaders/material/ships/istl_damselfly_material.png
istl_dard,ship,,,material,graphics/ISTL/shaders/material/ships/istl_dard_material.png
istl_defstation,ship,,,material,graphics/ISTL/shaders/material/ships/istl_stationcore_small_material.png
istl_devilray,ship,,,material,graphics/ISTL/shaders/material/ships/istl_devilray_material.png
istl_egret,ship,,,material,graphics/ISTL/shaders/material/ships/istl_egret_material.png
istl_feeder,ship,,,material,graphics/ISTL/shaders/material/ships/istl_feeder_material.png
istl_fighter_platform,ship,,,material,graphics/ISTL/shaders/material/ships/istl_fighter_module_material.png
istl_firespray,ship,,,material,graphics/ISTL/shaders/material/ships/istl_firespray_material.png
istl_flare,ship,,,material,graphics/ISTL/shaders/material/ships/istl_flare_material.png
istl_flatmouse,ship,,,material,graphics/ISTL/shaders/material/ships/istl_flatmouse_material.png
istl_fletcher,ship,,,material,graphics/ISTL/shaders/material/ships/istl_fletcher_material.png
istl_funnel,ship,,,material,graphics/ISTL/shaders/material/ships/istl_funnel_material.png
istl_goalkeeper,ship,,,material,graphics/ISTL/shaders/material/ships/istl_goalkeeper_material.png
istl_grand_union,ship,,,material,graphics/ISTL/shaders/material/ships/istl_grandunion_material.png
istl_guardian_tplate,ship,,,material,graphics/ISTL/shaders/material/ships/istl_guardian_tplate_material.png
istl_guardian_turret,ship,,,material,graphics/ISTL/shaders/material/ships/istl_guardian_turret_material.png
istl_gun_platform,ship,,,material,graphics/ISTL/shaders/material/ships/istl_gun_module_material.png
