id,type,text1,text2,text3,notes
istl_baikal,SHIP,"This heavy multi-role cruiser is an aging but flexible design, capable of handing nearly any requirement from convoy escort to fleet command ship to aggressive salvage operations in disputed zones. Once considered hopelessly obsolete, the current Block VI update features an all-new shield generator and improved high-output thrusters, as well as an integral salvage gantry for recovery operations.",,,
istl_baikal_brone,SHIP,"This heavy multi-role cruiser is an aging but flexible design, capable of handing nearly any requirement from convoy escort to fleet command ship to aggressive salvage operations in disputed zones. The addition of a 'Brone V' composite armor package gives this older model improved staying power, at the cost of even worse handling.",,,
istl_borzoi,SHIP,"A tough, agile light craft, lacking a shield but generously armored. Many commanders consider them invaluable for reconnaisance and pursuit duty, but shy away from sending them into heavier combat.",,,
istl_bouclier,SHIP,"Durable, flexible, and increasingly rare since the initial production run finished, these heavily armored courier shuttles are nevetheless still seen around the sector from time to time.",,,
istl_carabao,SHIP,"A thoroughly unremarkable tanker, reasonably well protected and dependable.",,,
istl_centaur,SHIP,"This chunky armed transport is the result of a long and exacting development process, aimed at designing the ultimate survivable cargo platform. Well armed and heavily shielded, the Kentaurus is an excellent choice for shipping in high-intensity combat zones.",,,
istl_chamois,SHIP,"A rough and tumble utilitarian hull, heavily armored against close impacts but saddled with a weak shield generator. Generous equipment racks permit various utility modifications, and a cramped drone bay offers the possibility of a light carrier configuration to the desperate.",,,
istl_damselfly,SHIP,"Deploying a salvo of Perforator rockets, these tough bombers can inflict horrifying damage to enemy shipping from stand-off ranges.",,,
istl_dard,SHIP,"A cheap, lightweight drone fighter. Low-power beam weaponry relegates the Dard to interception duty.",,,
istl_defstation,SHIP,"A standardized frame for defensive fortifications. Hexagonal truss construction allows the fitting of 50% more modules compared to Domain-standard construction, but the resulting platform is still not comparable to a full-sized battlestation. Fleet planners consider this an acceptable tradeoff, preferring larger mobile forces to fixed defenses in any case.",,,
